character,frequency,is_variant,filter_layer,reason,modern_equivalents
縚,4,False,,passed all layers — likely truly disappeared,
壥,4,False,,passed all layers — likely truly disappeared,
忄,4,True,1,Unihan variant of {'心'},心
慜,4,False,,passed all layers — likely truly disappeared,
涳,4,False,,passed all layers — likely truly disappeared,
拪,4,False,,passed all layers — likely truly disappeared,
揑,4,True,1,Unihan variant of {'捏'},捏
尫,4,False,,passed all layers — likely truly disappeared,
亷,4,False,,passed all layers — likely truly disappeared,
籉,4,False,,passed all layers — likely truly disappeared,
囝,4,False,,passed all layers — likely truly disappeared,
臲,4,False,,passed all layers — likely truly disappeared,
窞,4,False,,passed all layers — likely truly disappeared,
烻,4,False,,passed all layers — likely truly disappeared,
箝,4,False,,passed all layers — likely truly disappeared,
縿,4,False,,passed all layers — likely truly disappeared,
攕,4,False,,passed all layers — likely truly disappeared,
鍧,4,False,,passed all layers — likely truly disappeared,
罯,4,False,,passed all layers — likely truly disappeared,
橰,4,False,,passed all layers — likely truly disappeared,
爞,4,False,,passed all layers — likely truly disappeared,
嗸,4,False,,passed all layers — likely truly disappeared,
湌,4,True,1,Unihan variant of {'餐'},餐
粔,4,False,,passed all layers — likely truly disappeared,
籹,4,False,,passed all layers — likely truly disappeared,
楖,4,False,,passed all layers — likely truly disappeared,
扠,4,False,,passed all layers — likely truly disappeared,
勷,4,False,,passed all layers — likely truly disappeared,
熺,4,False,,passed all layers — likely truly disappeared,
汃,4,False,,passed all layers — likely truly disappeared,
吺,4,False,,passed all layers — likely truly disappeared,
跁,4,False,,passed all layers — likely truly disappeared,
跒,4,False,,passed all layers — likely truly disappeared,
髇,4,False,,passed all layers — likely truly disappeared,
竢,4,True,1,Unihan variant of {'俟'},俟
蕟,4,False,,passed all layers — likely truly disappeared,
朞,4,False,,passed all layers — likely truly disappeared,
幙,4,True,1,Unihan variant of {'幕'},幕
舼,4,False,,passed all layers — likely truly disappeared,
赮,4,False,,passed all layers — likely truly disappeared,
窌,4,True,1,Unihan variant of {'窖'},窖
琇,4,False,,passed all layers — likely truly disappeared,
甔,4,False,,passed all layers — likely truly disappeared,
嫓,4,False,,passed all layers — likely truly disappeared,
籺,4,False,,passed all layers — likely truly disappeared,
戞,4,False,,passed all layers — likely truly disappeared,
埿,4,False,,passed all layers — likely truly disappeared,
髩,4,False,,passed all layers — likely truly disappeared,
爣,4,False,,passed all layers — likely truly disappeared,
瓟,4,True,1,Unihan variant of {'匏'},匏
涢,4,False,,passed all layers — likely truly disappeared,
熖,4,False,,passed all layers — likely truly disappeared,
栳,4,False,,passed all layers — likely truly disappeared,
煴,4,False,,passed all layers — likely truly disappeared,
扞,4,True,1,Unihan variant of {'捍'},捍
狁,4,False,,passed all layers — likely truly disappeared,
旳,4,False,,passed all layers — likely truly disappeared,
叚,4,False,,passed all layers — likely truly disappeared,
裋,4,False,,passed all layers — likely truly disappeared,
楩,4,False,,passed all layers — likely truly disappeared,
谹,4,False,,passed all layers — likely truly disappeared,
靮,4,False,,passed all layers — likely truly disappeared,
枹,4,False,,passed all layers — likely truly disappeared,
倣,4,True,1,Unihan variant of {'仿'},仿
蛚,4,False,,passed all layers — likely truly disappeared,
潎,4,False,,passed all layers — likely truly disappeared,
浄,4,False,,passed all layers — likely truly disappeared,
鳿,4,False,,passed all layers — likely truly disappeared,
涙,4,False,,passed all layers — likely truly disappeared,
